date,Indonesia Count_Person
1960,87751066
1961,90098396
1962,92518373
1963,95015295
1964,97596728
1965,100267070
1966,103025423
1967,105865576
1968,108779926
1969,111758566
1970,114793179
1971,117880146
1972,121017316
1973,124199693
1974,127422198
1975,130680730
1976,133966940
1977,137278057
1978,140621731
1979,144009844
1980,147447834
1981,150938222
1982,154468235
1983,158009248
1984,161523353
1985,164982452
1986,168374287
1987,171702756
1988,174975953
1989,178209147
1990,181413398
1991,184591897
1992,187739786
1993,190851184
1994,193917458
1995,196934257
1996,199901231
1997,202826444
1998,205724597
1999,208615171
2000,211513822
2001,214427419
2002,217357790
2003,220309473
2004,223285666
2005,226289468
2006,229318262
2007,232374239
2008,235469755
2009,238620554
2010,241834226
2011,245115988
2012,248451714
2013,251805314
2014,255128076
2015,258383257
2016,261556386
2017,264650969
2018,267670549
2019,270625567
2020,273523621
